,id,per_square_meter_price
0,COL_289284,42606.23504560525
1,COL_289305,54665.75671248732
2,COL_289318,42205.40297807263
3,COL_289354,90687.58368075888
4,COL_289399,61754.654960412474
5,COL_289428,42031.882645465455
6,COL_289460,55917.75422383306
7,COL_289493,57684.21132413364
8,COL_289495,84255.83969922335
9,COL_289749,49023.6206651912
10,COL_289763,171505.7798662327
11,COL_289778,53303.8636213322
12,COL_289801,33120.30422589982
13,COL_289971,26486.129684995332
14,COL_290143,53208.53417866675
15,COL_290169,140479.17398072098
16,COL_290252,28746.04866711558
17,COL_290336,31188.701280847425
18,COL_290398,42542.55287096054
19,COL_290403,40916.12928872004
20,COL_290431,32988.26764098615
21,COL_290466,56116.81557215261
22,COL_290486,63550.33133366454
23,COL_290497,31054.07351269683
24,COL_290510,51697.618361910485
25,COL_290559,35525.14855817483
26,COL_290600,91936.31427256152
27,COL_290602,94707.97854235387
28,COL_290716,74030.05048222626
29,COL_290717,28388.98647949352
30,COL_290876,47458.10194638818
31,COL_290966,36438.78649904509
32,COL_291008,29219.16082841098
33,COL_291021,148455.301536737
34,COL_291043,67240.15699814266
35,COL_291190,60631.70950993821
36,COL_291192,44015.13197661419
37,COL_291274,49773.94179123768
38,COL_291284,65362.567988745446
39,COL_291397,40371.976736547906
40,COL_291450,57766.06249441768
41,COL_291738,86486.46402775246
42,COL_291740,44533.917005804076
43,COL_291825,26929.010837291316
44,COL_291900,50895.223281205894
45,COL_292045,58401.53658856872
46,COL_292135,49663.918086225895
47,COL_292258,29045.280267339804
48,COL_292275,26190.1992387949
49,COL_292279,57282.46011838694
50,COL_292364,54830.829246247216
51,COL_292417,33275.45409250673
52,COL_292421,52863.08546040344
53,COL_292501,51549.044145160005
54,COL_292654,123343.09817806013
55,COL_292906,55389.44012084632
56,COL_292926,26028.6838112055
57,COL_293123,125033.43906042754
58,COL_293135,39296.52840169375
59,COL_293496,55951.29928684808
60,COL_293497,40355.84947809681
61,COL_293588,272407.1890120197
62,COL_293614,133757.75765397263
63,COL_293631,68264.14871331984
64,COL_293703,36478.105226587555
65,COL_293773,38154.46849086913
66,COL_293780,49485.59461752282
67,COL_293783,32267.94035432986
68,COL_293826,45562.04431523975
69,COL_293889,83138.59541473346
70,COL_293952,55440.28639765654
71,COL_293956,33858.56078812122
72,COL_294068,65475.13117661452
