id,per_square_meter_price
COL_289284,36218.88024746051
COL_289305,66045.22436247462
COL_289318,37220.19267489525
COL_289354,72136.94079901776
COL_289399,72613.91929582495
COL_289428,48790.62857218091
COL_289460,51660.05922891611
COL_289493,50984.32108576729
COL_289495,114545.64424219668
COL_289749,48386.0694553824
COL_289763,149753.7784824654
COL_289778,52964.3483364144
COL_289801,27408.14751429964
COL_289971,18642.759369990665
COL_290143,54357.4667948335
COL_290169,191110.86358644196
COL_290252,26486.710615481166
COL_290336,32610.56857731985
COL_290398,45885.61355442108
COL_290403,41619.28982744008
COL_290431,26270.300906972312
COL_290466,58484.55692555522
COL_290486,62920.21735482907
COL_290497,27347.260306643657
COL_290510,63447.27578632096
COL_290559,38736.46117884966
COL_290600,115960.20667012302
COL_290602,119834.30864720771
COL_290716,101788.96424570253
COL_290717,18168.629208987037
COL_290876,40941.985142776364
COL_290966,38980.475341840174
COL_291008,28711.290406821958
COL_291021,209669.36869847405
COL_291043,62731.07962128532
COL_291190,60207.44245737641
COL_291192,40715.49832822838
COL_291274,45542.41092622536
COL_291284,63629.276602490885
COL_291397,43116.93003559582
COL_291450,63450.97264508536
COL_291738,102790.6780555049
COL_291740,35316.861355358145
COL_291825,20199.369330832633
COL_291900,48482.28640616179
COL_292045,47044.82317713744
COL_292135,48160.3908599518
COL_292258,22291.685534679607
COL_292275,22401.5156650898
COL_292279,61823.08429927388
COL_292364,47482.084273744425
COL_292417,28571.75974751346
COL_292421,58343.49123330688
COL_292501,42915.006259069996
COL_292654,135759.65729362026
COL_292906,66417.81383544262
COL_292926,26158.699653661002
COL_293123,207340.15155835508
COL_293135,38710.267740887495
COL_293496,66710.46576119616
COL_293497,37465.76145619362
COL_293588,345824.4405240394
COL_293614,172620.77312044526
COL_293631,58303.859926639685
COL_293703,34438.99560942511
COL_293773,33302.49557548826
COL_293780,51832.79861004564
COL_293783,31524.204927409726
COL_293826,35810.096442979506
COL_293889,59702.011141966934
COL_293952,63093.13529531309
COL_293956,31096.32079499243
COL_294068,59504.746728229045
COL_294101,52458.304016899056
COL_294115,60088.26560832527
COL_294143,46976.58945554988
COL_294200,39243.67614585118
COL_294245,24438.838810903206
COL_294261,22393.44735644496
COL_294293,79554.89651203436
COL_294300,48727.34338932353
COL_294350,41011.94675422752
COL_294488,61544.20000440859
COL_294525,64489.34569176293
COL_294553,58712.57282510645
COL_294558,51168.90623947913
COL_294593,74714.61781893027
COL_294691,56254.978870216866
COL_294716,36109.986045811864
COL_294729,55186.73071996165
COL_294785,82631.68095920475
COL_294917,50362.52766269685
COL_294951,15173.082868874657
COL_294975,45134.90370884199
COL_295255,34049.631253275766
COL_295327,8813.971177870142
COL_295509,36040.78646511135
COL_295595,79263.89520107668
COL_296322,41523.65261851872
COL_296509,20658.527796092378
COL_296521,231389.6867448982
COL_296756,33421.10273043965
COL_296901,65101.94441197398
COL_297293,31422.29575855327
COL_297324,56575.1196887889
COL_297326,61532.91337800921
COL_297329,43999.42637642637
COL_297441,38796.980177113124
COL_297472,85395.94692044162
COL_297631,57612.504997906784
COL_297815,69164.07390325358
COL_298020,41940.73565197232
COL_298046,41276.03361168383
COL_298052,39241.21003579625
COL_298055,102374.65068287936
COL_298064,37620.75353868692
COL_298075,55509.02024579742
COL_298099,36004.10627642159
COL_298101,53676.512964904316
COL_298102,35976.24101799591
COL_298103,17138.969212802607
COL_298104,31076.072786716282
COL_298261,47540.85701193057
COL_298459,223171.26793276015
COL_298471,46125.62115961492
COL_298481,89345.33358992977
COL_298516,64516.25458617298
COL_298532,34215.124832640846
COL_298539,53527.06682824487
COL_298593,174969.18390945936
COL_298719,28064.742923394493
COL_298724,37098.89326520775
COL_298733,55025.04400256895
COL_298817,75552.0313833676
COL_298837,72912.94702150434
COL_298968,158582.4340298107
COL_299209,75280.65564257142
COL_299221,227472.58023574445
COL_299361,40268.954959219715
COL_299366,21432.52578435422
COL_299450,69558.05592850826
COL_299454,75837.57645211926
COL_299455,65831.07487416042
COL_299459,62820.21561558264
COL_299464,32292.687925602087
COL_299468,58155.16136277485
COL_299486,56721.39155989671
COL_299491,78461.47600020637
COL_299497,55044.36891279753
COL_299499,38165.963687926094
COL_299501,68912.56775414359
COL_299540,38022.78375637272
COL_299615,58535.91043409702
COL_299659,352130.4590757989
COL_299678,116832.90756277792
COL_299795,31818.809167996747
COL_299818,43536.31891158687
COL_299819,64229.24222539617
COL_299820,77126.22095410168
COL_299960,30561.624222963743
COL_300095,57580.82259901331
COL_300108,131912.07855298134
COL_300125,27608.809889594682
COL_300144,219713.07504323844
COL_300225,50815.770159025386
COL_300305,271660.28885565035
COL_300423,23711.72244475904
COL_300491,28218.41585813086
COL_300562,36353.833205879186
COL_300747,34219.68862773941
COL_300816,58802.14046639683
COL_300942,47122.97445227759
COL_300959,49137.032650322326
COL_300962,38270.324050289855
COL_301220,33024.47668316468
COL_301285,56341.049787575896
COL_301290,59972.50229679366
COL_301303,58334.89548623318
COL_301367,39620.84804832484
COL_301368,44255.781092114565
COL_301378,70165.40484334271
COL_301401,56339.8494319892
COL_301444,14807.999928529049
COL_301445,46999.13875235946
COL_301574,126286.26353416462
COL_301649,27580.462798899243
COL_301669,64996.19212819593
COL_301670,46944.46602208017
COL_301679,46923.016931048274
COL_301709,39934.0437490302
COL_301757,100834.62237469536
COL_301819,35254.33579470864
COL_301820,43580.39518583275
COL_301821,44590.90598757324
COL_301822,40742.12359064691
COL_301823,39708.94777760752
COL_301843,32378.753886854676
COL_301976,66489.25250972103
COL_301986,36378.144541965296
COL_302097,61513.433041380136
COL_302111,60502.94336222883
COL_302139,59843.14573936221
COL_302293,66104.85089698697
COL_302294,40177.565448490655
COL_302428,63620.569632898914
COL_302465,30238.99957460943
COL_302497,84077.34088738027
COL_302548,26882.63465571704
COL_302597,46211.98331622875
COL_302726,50668.28241551272
COL_302745,62709.24651358558
COL_302873,49170.36012694198
COL_302926,49668.29895038199
COL_302986,41872.89193756969
COL_302987,36982.140995606656
COL_302994,63451.277530771105
COL_303002,63382.65625521725
COL_303004,20553.428394737784
COL_303007,34121.19453375433
COL_303069,49484.43588851778
COL_303147,25096.411275329705
COL_303265,40178.661143320256
COL_303285,61206.98794509162
COL_303366,33362.99623858461
COL_303405,100387.51382058622
COL_303564,43078.051967360414
COL_303569,24183.88745264587
COL_303618,87827.26193008469
COL_303623,50548.283047993995
COL_303624,50548.283047993995
COL_303625,47095.45499895521
COL_303626,36424.470964015214
COL_303627,48293.383767595034
COL_303637,35491.45016726863
COL_303638,56646.29271254139
COL_304041,34648.25763020374
COL_304147,543711.5320298186
COL_304255,151696.43736676572
COL_304280,82252.81431371513
COL_304320,47139.19387963943
COL_304322,52927.38625399022
COL_304323,30783.813664267327
COL_304324,25273.19516885278
COL_304325,36220.84361397002
COL_304367,46043.236809648006
COL_304546,52874.45290498523
COL_304550,60844.998496603286
COL_304552,85095.04399106753
COL_304561,41080.747594914166
